binf_chr_start_end	fus_total_overlaps	fus_variance	fus_pearson_median_skew	fus_kurtosis_excess	fus_max_binding_offset	hnrnpc_total_overlaps	hnrnpc_variance	hnrnpc_pearson_median_skew	hnrnpc_kurtosis_excess	hnrnpc_max_binding_offset	hnrnpm_total_overlaps	hnrnpm_variance	hnrnpm_pearson_median_skew	hnrnpm_kurtosis_excess	hnrnpm_max_binding_offset	khsrp_total_overlaps	khsrp_variance	khsrp_pearson_median_skew	khsrp_kurtosis_excess	khsrp_max_binding_offset	khsrpctrl_total_overlaps	khsrpctrl_variance	khsrpctrl_pearson_median_skew	khsrpctrl_kurtosis_excess	khsrpctrl_max_binding_offset	prpf8_total_overlaps	prpf8_variance	prpf8_pearson_median_skew	prpf8_kurtosis_excess	prpf8_max_binding_offset	prpf8ctrl_total_overlaps	prpf8ctrl_variance	prpf8ctrl_pearson_median_skew	prpf8ctrl_kurtosis_excess	prpf8ctrl_max_binding_offset	ptbp1_total_overlaps	ptbp1_variance	ptbp1_pearson_median_skew	ptbp1_kurtosis_excess	ptbp1_max_binding_offset	sfb31_total_overlaps	sfb31_variance	sfb31_pearson_median_skew	sfb31_kurtosis_excess	sfb31_max_binding_offset	u2af2_total_overlaps	u2af2_variance	u2af2_pearson_median_skew	u2af2_kurtosis_excess	u2af2_max_binding_offset	u2af2ctrl_total_overlaps	u2af2ctrl_variance	u2af2ctrl_pearson_median_skew	u2af2ctrl_kurtosis_excess	u2af2ctrl_max_binding_offset
chr10_5732399_5732400	5	0.0242568	0.479157	35.2255	-53	6	0.0289597	0.526235	28.5308	72	6	0.0289597	0.526235	28.5308	-73	4	0.0195045	0.427482	45.2703	-4	0	0	0	0	0	10	0.0472761	0.686443	15.1524	11	0	0	0	0	0	1	0.00495037	0.212132	196.005	28	0	0	0	0	0	1	0.00495037	0.212132	196.005	-87	4	0.0195045	0.427482	45.2703	-94
chr10_5753744_5753745	6	0.0289597	0.526235	28.5308	-26	10	0.0472761	0.686443	15.1524	-41	14	0.0747506	0.764268	17.3713	96	1	0.00495037	0.212132	196.005	-25	3	0.0147026	0.369274	62.0152	-84	3	0.0147026	0.369274	62.0152	-93	1	0.00495037	0.212132	196.005	-68	15	0.0690577	0.851943	8.48064	-21	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-74	3	0.0147026	0.369274	62.0152	-23
chr10_5757208_5757209	1	0.00495037	0.212132	196.005	19	3	0.0246529	0.285176	131.817	73	3	0.0147026	0.369274	62.0152	57	2	0.00985124	0.300753	95.51	5	0	0	0	0	0	3	0.0147026	0.369275	62.0152	-87	0	0	0	0	0	2	0.00985124	0.300753	95.51	-52	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-98	1	0.00495037	0.212132	196.005	-44
chr10_5757213_5757214	1	0.00495037	0.212132	196.005	14	3	0.0246529	0.285176	131.817	68	3	0.0147026	0.369274	62.0152	52	2	0.00985124	0.300753	95.51	0	0	0	0	0	0	3	0.0147026	0.369275	62.0152	-92	0	0	0	0	0	2	0.00985124	0.300753	95.51	-57	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-98	1	0.00495037	0.212132	196.005	-49
chr10_5767939_5767940	19	0.0955422	0.917447	10.4211	60	6	0.0289597	0.526235	28.5308	67	6	0.0289597	0.526235	28.5308	-71	41	0.222074	1.29856	7.63952	29	5	0.0242568	0.479157	35.2255	52	8	0.0382169	0.610784	20.1665	-98	1	0.00495037	0.212132	196.005	-54	14	0.0747506	0.764268	17.3713	18	0	0	0	0	0	16	0.103116	0.743672	19.4526	-94	6	0.0289597	0.526235	28.5308	-95
chr10_5878344_5878345	4	0.0195045	0.427482	45.2703	-78	15	0.0790079	0.796491	15.5549	44	1	0.00495037	0.212132	196.005	-32	14	0.0648004	0.820851	9.43202	-86	4	0.0195045	0.427482	45.2703	-74	13	0.100295	0.612675	43.6858	43	0	0	0	0	0	8	0.0382169	0.610784	20.1665	-87	0	0	0	0	0	18	0.151184	0.690946	25.2659	43	2	0.00985124	0.300753	95.51	40
chr10_5880500_5880501	17	0.107275	0.774686	17.8015	-53	3	0.0147026	0.369274	62.0152	-53	0	0	0	0	0	14	0.0648004	0.820851	9.43201	-94	3	0.0147026	0.369274	62.0152	-55	3	0.0147026	0.369274	62.0152	-55	1	0.00495037	0.212132	196.005	-30	6	0.0289597	0.526235	28.5308	-33	0	0	0	0	0	19	0.105492	0.873108	13.3012	-80	1	0.00495037	0.212132	196.005	65
chr10_6019535_6019536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_7193570_7193571	15	0.0790079	0.796491	15.5549	-4	3	0.0147026	0.369274	62.0152	-34	0	0	0	0	0	3	0.0147026	0.369274	62.0151	-47	1	0.00495037	0.212132	196.005	79	1	0.00495037	0.212132	196.005	77	0	0	0	0	0	4	0.0195045	0.427482	45.2703	80	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-63	1	0.00495037	0.212132	196.005	58
chr10_7637565_7637566	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-53	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-61	1	0.00495037	0.212132	196.005	87	0	0	0	0	0	1	0.00495037	0.212132	196.005	-8	1	0.00495037	0.212132	196.005	62	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-47	0	0	0	0	0
chr10_7712244_7712245	19	0.0955422	0.917448	10.4211	91	14	0.0747506	0.764268	17.3713	68	1	0.00495037	0.212132	196.005	-62	8	0.0382169	0.610784	20.1665	-57	8	0.0382169	0.610784	20.1665	-48	3	0.0147026	0.369274	62.0152	-55	5	0.0242568	0.479157	35.2255	-52	13	0.080394	0.684316	23.902	-49	0	0	0	0	0	17	0.0873741	0.858386	12.6428	-49	12	0.0561372	0.755929	11.8135	-59
chr10_7715045_7715046	33	0.177025	1.17063	6.1698	-70	58	0.314745	1.54303	2.25627	86	2	0.00985124	0.300753	95.51	82	16	0.0732655	0.882258	7.64899	88	13	0.0604935	0.788886	10.5307	78	8	0.0382169	0.610784	20.1665	88	9	0.0427712	0.649519	17.3802	88	2	0.00985124	0.300753	95.51	23	0	0	0	0	0	27	0.136185	1.09201	6.98031	88	23	0.101334	1.07839	3.86835	-46
chr10_7731305_7731306	13	0.0604935	0.788886	10.5307	79	14	0.0648004	0.820851	9.43201	47	1	0.00495037	0.212132	196.005	-12	8	0.0382169	0.610784	20.1665	67	5	0.0242568	0.479157	35.2255	-54	1	0.00495037	0.212132	196.005	59	2	0.00985124	0.300753	95.51	-35	0	0	0	0	0	0	0	0	0	0	14	0.0946511	0.679188	23.463	59	4	0.0195045	0.427482	45.2703	-96
chr10_7733971_7733972	23	0.111284	1.02905	7.27912	84	10	0.0472761	0.686443	15.1524	74	2	0.00985124	0.300753	95.51	-60	16	0.0832158	0.827832	13.9949	-90	5	0.0242568	0.479157	35.2255	-83	7	0.0435633	0.500568	47.475	76	6	0.0289597	0.526235	28.5308	80	5	0.0242568	0.479157	35.2255	-78	0	0	0	0	0	8	0.0382169	0.610784	20.1665	84	15	0.0690577	0.851943	8.48064	-57
chr10_7780885_7780886	1	0.00495037	0.212132	196.005	86	2	0.0198015	0.212132	196.005	91	4	0.0195045	0.427482	45.2703	-98	6	0.0389099	0.45399	58.1529	-80	3	0.0147026	0.369274	62.0152	-12	2	0.00985124	0.300753	95.51	-1	0	0	0	0	0	9	0.0427712	0.649519	17.3802	11	0	0	0	0	0	5	0.0342071	0.403494	73.2399	-78	1	0.00495037	0.212132	196.005	94
chr10_7940198_7940199	4	0.0195045	0.427482	45.2703	-7	1	0.00495037	0.212132	196.005	-5	0	0	0	0	0	2	0.00985124	0.300753	95.51	-5	1	0.00495037	0.212132	196.005	81	1	0.00495037	0.212132	196.005	-96	1	0.00495037	0.212132	196.005	6	1	0.00495037	0.212132	196.005	20	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	2
chr10_8059617_8059618	0	0	0	0	0	0	0	0	0	0	7	0.0435633	0.500568	47.475	-98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.0389099	0.45399	58.1529	-98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_10962958_10962959	0	0	0	0	0	1	0.00495037	0.212132	196.005	94	1	0.00495037	0.212132	196.005	-61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.00985124	0.300753	95.5101	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_11484168_11484169	6	0.0289597	0.526235	28.5308	-48	3	0.0147026	0.369274	62.0152	-83	7	0.0435633	0.500568	47.475	17	7	0.033613	0.569862	23.7504	58	3	0.0147026	0.369274	62.0152	-76	3	0.0147026	0.369274	62.0152	88	1	0.00495037	0.212132	196.005	-85	16	0.0732655	0.882258	7.64899	-73	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-49	4	0.0195045	0.427482	45.2703	-83
chr10_11491246_11491247	7	0.0435633	0.500568	47.475	-92	1	0.00495037	0.212132	196.005	90	3	0.0147026	0.369274	62.0152	-64	11	0.0616816	0.661059	25.1234	91	3	0.0147026	0.369275	62.0152	-98	2	0.00985124	0.300753	95.51	-7	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-90	0	0	0	0	0	1	0.00495037	0.212132	196.005	56	1	0.00495037	0.212132	196.005	-57
chr10_11504293_11504294	1	0.00495037	0.212132	196.005	-24	7	0.033613	0.569862	23.7504	79	4	0.0195045	0.427482	45.2703	62	11	0.0517314	0.72184	13.3306	-96	1	0.00495037	0.212132	196.005	-98	0	0	0	0	0	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-85	1	0.00495037	0.212132	196.005	85	0	0	0	0	0	0	0	0	0	0
chr10_11943592_11943593	20	0.099552	0.946085	9.49958	42	6	0.0289597	0.526235	28.5308	-68	4	0.0195045	0.427482	45.2703	-97	61	0.360635	1.51608	3.18118	50	9	0.0527215	0.585024	33.5915	-72	3	0.0147026	0.369274	62.0152	-1	0	0	0	0	0	3	0.0147026	0.369274	62.0152	49	1	0.00495037	0.212132	196.005	93	25	0.238261	0.764431	38.4063	-76	6	0.0289597	0.526235	28.5308	90
chr10_11952375_11952376	9	0.0527215	0.585024	33.5915	-39	1	0.00495037	0.212132	196.005	0	1	0.00495037	0.212132	196.005	-64	19	0.0955422	0.917447	10.4211	-98	2	0.00985124	0.300753	95.51	-27	4	0.0195045	0.427482	45.2703	-86	0	0	0	0	0	2	0.00985124	0.300753	95.51	-83	1	0.00495037	0.212132	196.005	-25	2	0.00985124	0.300753	95.51	-66	1	0.00495037	0.212132	196.005	79
chr10_12002462_12002463	3	0.0147026	0.369274	62.0152	-69	5	0.0242568	0.479157	35.2255	-13	1	0.00495037	0.212132	196.005	84	1	0.00495037	0.212132	196.005	22	3	0.0147026	0.369274	62.0152	-67	1	0.00495037	0.212132	196.005	-98	1	0.00495037	0.212132	196.005	92	15	0.0690577	0.851943	8.48064	-89	0	0	0	0	0	4	0.0195045	0.427482	45.2703	42	1	0.00495037	0.212132	196.005	-1
chr10_12081735_12081736	13	0.0803941	0.684316	23.902	-23	3	0.0147026	0.369274	62.0152	58	1	0.00495037	0.212132	196.005	-76	1	0.00495037	0.212132	196.005	3	2	0.00985124	0.300753	95.5101	46	4	0.0195045	0.427482	45.2703	-87	1	0.00495037	0.212132	196.005	31	4	0.0195045	0.427482	45.2703	16	1	0.00495037	0.212132	196.005	36	4	0.0195045	0.427482	45.2703	2	3	0.0147026	0.369274	62.0152	54
chr10_12149814_12149815	16	0.0732655	0.882258	7.64899	74	1	0.00495037	0.212132	196.005	72	5	0.0242568	0.479157	35.2255	-14	28	0.169649	1.01463	9.07943	-72	3	0.0147026	0.369274	62.0152	34	13	0.0604935	0.788886	10.5307	6	2	0.00985124	0.300753	95.5101	-54	7	0.033613	0.569862	23.7504	-13	0	0	0	0	0	37	0.279548	1.04448	12.3548	-6	5	0.0242568	0.479157	35.2255	87
chr10_12178202_12178203	3	0.0147026	0.369274	62.0152	-98	11	0.0517314	0.72184	13.3306	-89	18	0.0914829	0.888235	11.4612	-76	8	0.0382169	0.610784	20.1665	-94	3	0.0147026	0.369275	62.0152	-78	6	0.0389099	0.45399	58.1529	-48	1	0.00495037	0.212132	196.005	68	6	0.0289597	0.526235	28.5308	-79	0	0	0	0	0	3	0.0246528	0.285176	131.817	-85	5	0.0242568	0.479157	35.2255	-78
chr10_12185541_12185542	24	0.125046	1.01298	8.79736	-15	3	0.0147026	0.369274	62.0152	-71	3	0.0147026	0.369274	62.0152	-95	29	0.133413	1.18502	4.38251	21	3	0.0147026	0.369274	62.0152	-39	7	0.033613	0.569862	23.7504	59	1	0.00495037	0.212132	196.005	50	6	0.0289597	0.526235	28.5308	-43	0	0	0	0	0	7	0.033613	0.569862	23.7504	-16	2	0.00985124	0.300753	95.5101	-39
chr10_12826759_12826760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0.196183	1.31419	4.22156	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_13121725_13121726	1	0.00495037	0.212132	196.005	-29	0	0	0	0	0	26	0.132521	1.066	7.5331	-54	2	0.00985124	0.300753	95.5101	-98	1	0.00495037	0.212132	196.005	-11	0	0	0	0	0	0	0	0	0	0	9	0.0427712	0.649519	17.3802	97	0	0	0	0	0	1	0.00495037	0.212132	196.005	63	0	0	0	0	0
chr10_13185695_13185696	2	0.00985124	0.300753	95.5101	-53	3	0.0147026	0.369274	62.0152	-94	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	80	0	0	0	0	0	0	0	0	0	0	5	0.0242568	0.479157	35.2255	82	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	81
chr10_13196889_13196890	5	0.0242568	0.479157	35.2255	21	14	0.0847009	0.717975	21.4559	51	1	0.00495037	0.212132	196.005	43	6	0.0289597	0.526235	28.5308	-84	2	0.00985124	0.300753	95.51	-30	2	0.00985124	0.300753	95.5101	49	0	0	0	0	0	7	0.0435633	0.500568	47.475	48	0	0	0	0	0	6	0.0289597	0.526235	28.5308	-66	0	0	0	0	0
chr10_13330624_13330625	14	0.0648004	0.820851	9.43201	-14	4	0.0195045	0.427482	45.2703	-50	9	0.0527215	0.585024	33.5915	-11	4	0.0195045	0.427482	45.2703	-91	1	0.00495037	0.212132	196.005	-98	0	0	0	0	0	2	0.00985124	0.300753	95.51	-15	2	0.00985124	0.300753	95.5101	-46	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-45	2	0.00985124	0.300753	95.51	-98
chr10_13343301_13343302	6	0.0289597	0.526235	28.5308	-51	3	0.0147026	0.369274	62.0152	-98	20	0.099552	0.946085	9.49958	-98	9	0.0427712	0.649519	17.3802	-67	2	0.00985124	0.300753	95.5101	-50	0	0	0	0	0	1	0.00495037	0.212132	196.005	-40	3	0.0147026	0.369274	62.0151	-98	0	0	0	0	0	3	0.0147026	0.369275	62.0152	-95	1	0.00495037	0.212132	196.005	18
chr10_13609320_13609321	1	0.00495037	0.212132	196.005	-61	0	0	0	0	0	8	0.0382169	0.610784	20.1665	-92	0	0	0	0	0	2	0.00985124	0.300753	95.51	-85	1	0.00495037	0.212132	196.005	-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	84	0	0	0	0	0
chr10_14822450_14822451	1	0.00495037	0.212132	196.005	-6	1	0.00495037	0.212132	196.005	-38	1	0.00495037	0.212132	196.005	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_14833301_14833302	2	0.00985124	0.300753	95.5101	-80	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-39	1	0.00495037	0.212132	196.005	-27	1	0.00495037	0.212132	196.005	85	1	0.00495037	0.212132	196.005	-29	1	0.00495037	0.212132	196.005	-26	13	0.0604935	0.788886	10.5307	-31	0	0	0	0	0	1	0.00495037	0.212132	196.005	-53	2	0.00985124	0.300753	95.51	-45
chr10_14837155_14837156	2	0.00985124	0.300753	95.51	-32	2	0.00985124	0.300753	95.5101	-91	3	0.0147026	0.369274	62.0152	-21	8	0.0382169	0.610784	20.1665	78	0	0	0	0	0	6	0.0289597	0.526235	28.5308	2	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-95	0	0	0	0	0	1	0.00495037	0.212132	196.005	-95	1	0.00495037	0.212132	196.005	7
chr10_14921697_14921698	3	0.0147026	0.369274	62.0152	-98	4	0.0195045	0.427482	45.2703	-75	28	0.1796	0.986122	14.4946	82	5	0.0242568	0.479157	35.2255	91	2	0.00985124	0.300753	95.51	-23	3	0.0147026	0.369274	62.0152	-17	1	0.00495037	0.212132	196.005	-18	6	0.0289597	0.526235	28.5308	-93	0	0	0	0	0	2	0.00985124	0.300753	95.51	-61	0	0	0	0	0
chr10_15045462_15045463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_15128562_15128563	5	0.0242568	0.479157	35.2255	-58	0	0	0	0	0	0	0	0	0	0	8	0.0382169	0.610784	20.1665	-56	2	0.00985124	0.300753	95.5101	-98	7	0.0435633	0.500568	47.475	-22	0	0	0	0	0	1	0.00495037	0.212132	196.005	94	0	0	0	0	0	7	0.0634638	0.414725	96.7771	92	2	0.00985124	0.300753	95.51	-33
chr10_15282447_15282448	2	0.00985124	0.300753	95.51	27	1	0.00495037	0.212132	196.005	-81	1	0.00495037	0.212132	196.005	-71	2	0.00985124	0.300753	95.51	-33	2	0.00985124	0.300753	95.51	-21	1	0.00495037	0.212132	196.005	-45	1	0.00495037	0.212132	196.005	73	3	0.0147026	0.369274	62.0152	-45	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-64	0	0	0	0	0
chr10_15606596_15606597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_15652936_15652937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_15780546_15780547	6	0.0289597	0.526235	28.5307	-14	2	0.00985124	0.300753	95.51	-86	1	0.00495037	0.212132	196.005	-79	20	0.109502	0.902077	12.1984	-89	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-69	1	0.00495037	0.212132	196.005	-4	3	0.0147026	0.369274	62.0152	-37	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-43	0	0	0	0	0
chr10_15838927_15838928	17	0.0873741	0.858386	12.6428	-20	5	0.0242568	0.479157	35.2255	17	2	0.00985124	0.300753	95.51	-98	34	0.220143	1.08156	22.7024	-67	5	0.0242568	0.479157	35.2255	-88	2	0.00985124	0.300753	95.51	-67	1	0.00495037	0.212132	196.005	-60	39	0.196183	1.31419	4.22156	-61	0	0	0	0	0	9	0.072622	0.498464	73.6629	-68	3	0.0147026	0.369274	62.0152	-67
chr10_16509597_16509598	0	0	0	0	0	0	0	0	0	0	12	0.0561372	0.755929	11.8135	-39	4	0.0195045	0.427482	45.2703	-85	1	0.00495037	0.212132	196.005	27	1	0.00495037	0.212132	196.005	-22	0	0	0	0	0	11	0.0517314	0.72184	13.3306	-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_16917528_16917529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_16928902_16928903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17067056_17067057	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-32	1	0.00495037	0.212132	196.005	-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-57	0	0	0	0	0
chr10_17112589_17112590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17116719_17116720	1	0.00495037	0.212132	196.005	-79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17123188_17123189	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	7	3	0.0147026	0.369274	62.0152	-48	0	0	0	0	0	1	0.00495037	0.212132	196.005	68	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-72	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-52	0	0	0	0	0
chr10_17155103_17155104	0	0	0	0	0	1	0.00495037	0.212132	196.005	-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17158538_17158539	0	0	0	0	0	0	0	0	0	0	2	0.00985124	0.300753	95.51	-79	3	0.0147026	0.369274	62.0152	47	0	0	0	0	0	1	0.00495037	0.212132	196.005	91	0	0	0	0	0	2	0.00985124	0.300753	95.51	-75	0	0	0	0	0	1	0.00495037	0.212132	196.005	89	0	0	0	0	0
chr10_17161830_17161831	0	0	0	0	0	0	0	0	0	0	7	0.033613	0.569862	23.7504	0	3	0.0147026	0.369274	62.0152	-43	1	0.00495037	0.212132	196.005	41	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-66	0	0	0	0	0	1	0.00495037	0.212132	196.005	39	1	0.00495037	0.212132	196.005	-63
chr10_17232157_17232158	3	0.0147026	0.369274	62.0152	27	2	0.00985124	0.300753	95.51	61	4	0.0195045	0.427482	45.2703	50	15	0.0889582	0.750626	19.3538	-6	3	0.0147026	0.369274	62.0152	-94	19	0.125393	0.800834	16.0295	24	0	0	0	0	0	26	0.132521	1.066	7.53309	26	0	0	0	0	0	7	0.0535135	0.451639	53.345	74	1	0.00495037	0.212132	196.005	-23
chr10_17598549_17598550	2	0.00985124	0.300753	95.51	-39	0	0	0	0	0	1	0.00495037	0.212132	196.005	54	7	0.033613	0.569862	23.7504	-58	1	0.00495037	0.212132	196.005	-65	0	0	0	0	0	1	0.00495037	0.212132	196.005	91	1	0.00495037	0.212132	196.005	18	0	0	0	0	0	2	0.00985124	0.300753	95.51	-25	2	0.00985124	0.300753	95.51	-11
chr10_17689297_17689298	6	0.0289597	0.526235	28.5308	44	4	0.0195045	0.427482	45.2703	-75	7	0.033613	0.569862	23.7504	-90	12	0.0660875	0.696702	22.0527	-52	2	0.00985124	0.300753	95.51	-74	4	0.0195045	0.427482	45.2703	-53	1	0.00495037	0.212132	196.005	6	5	0.0242568	0.479157	35.2255	62	0	0	0	0	0	6	0.0289597	0.526235	28.5308	28	5	0.0242568	0.479157	35.2255	16
chr10_17711093_17711094	6	0.0289597	0.526235	28.5308	-81	9	0.0427712	0.649519	17.3802	95	182	0.81196	-0.314711	1.17447	21	10	0.0472761	0.686443	15.1524	-77	1	0.00495037	0.212132	196.005	29	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-98	10	0.0572263	0.623918	28.8885	38	1	0.00495037	0.212132	196.005	94	5	0.0242568	0.479157	35.2255	-84	6	0.0289597	0.526235	28.5308	21
chr10_17772694_17772695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-91	0	0	0	0	0	1	0.00495037	0.212132	196.005	90	0	0	0	0	0
chr10_17884755_17884756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17902435_17902436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17963881_17963882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_18500397_18500398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_18538835_18538836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_18549986_18549987	19	0.0955422	0.917447	10.4211	-79	4	0.0195045	0.427482	45.2703	10	50	0.236628	1.53413	2.36368	5	9	0.0427712	0.649519	17.3802	-79	5	0.0242568	0.479157	35.2255	-98	1	0.00495037	0.212132	196.005	-88	1	0.00495037	0.212132	196.005	18	5	0.0242568	0.479157	35.2255	-97	0	0	0	0	0	2	0.00985124	0.300753	95.51	9	3	0.0147026	0.369275	62.0152	12
chr10_18615350_18615351	3	0.0147026	0.369274	62.0152	-96	3	0.0147026	0.369274	62.0152	-51	6	0.0289597	0.526235	28.5308	-78	5	0.0242568	0.479157	35.2255	-97	1	0.00495037	0.212132	196.005	-98	2	0.00985124	0.300753	95.5101	-95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.0760377	0.649519	26.7757	-97	1	0.00495037	0.212132	196.005	-25
chr10_18615750_18615751	4	0.0195045	0.427482	45.2703	-68	1	0.00495037	0.212132	196.005	88	4	0.0195045	0.427482	45.2703	78	20	0.109502	0.902077	12.1984	74	0	0	0	0	0	5	0.0242568	0.479157	35.2255	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.00985124	0.300753	95.51	59	1	0.00495037	0.212132	196.005	84
chr10_18671020_18671021	5	0.0242568	0.479157	35.2255	-80	2	0.00985124	0.300753	95.51	-86	0	0	0	0	0	14	0.0648004	0.820851	9.43201	29	4	0.0294547	0.347863	95.7371	14	3	0.0147026	0.369275	62.0152	13	2	0.00985124	0.300753	95.51	-42	22	0.0974728	1.05173	4.25927	10	0	0	0	0	0	17	0.0973243	0.813324	15.94	13	2	0.00985124	0.300753	95.5101	-61
