decoy_chr_start_end	fus_total_overlaps	fus_variance	fus_pearson_median_skew	fus_kurtosis_excess	fus_max_binding_offset	hnrnpc_total_overlaps	hnrnpc_variance	hnrnpc_pearson_median_skew	hnrnpc_kurtosis_excess	hnrnpc_max_binding_offset	hnrnpm_total_overlaps	hnrnpm_variance	hnrnpm_pearson_median_skew	hnrnpm_kurtosis_excess	hnrnpm_max_binding_offset	khsrp_total_overlaps	khsrp_variance	khsrp_pearson_median_skew	khsrp_kurtosis_excess	khsrp_max_binding_offset	khsrpctrl_total_overlaps	khsrpctrl_variance	khsrpctrl_pearson_median_skew	khsrpctrl_kurtosis_excess	khsrpctrl_max_binding_offset	prpf8_total_overlaps	prpf8_variance	prpf8_pearson_median_skew	prpf8_kurtosis_excess	prpf8_max_binding_offset	prpf8ctrl_total_overlaps	prpf8ctrl_variance	prpf8ctrl_pearson_median_skew	prpf8ctrl_kurtosis_excess	prpf8ctrl_max_binding_offset	ptbp1_total_overlaps	ptbp1_variance	ptbp1_pearson_median_skew	ptbp1_kurtosis_excess	ptbp1_max_binding_offset	sfb31_total_overlaps	sfb31_variance	sfb31_pearson_median_skew	sfb31_kurtosis_excess	sfb31_max_binding_offset	u2af2_total_overlaps	u2af2_variance	u2af2_pearson_median_skew	u2af2_kurtosis_excess	u2af2_max_binding_offset	u2af2ctrl_total_overlaps	u2af2ctrl_variance	u2af2ctrl_pearson_median_skew	u2af2ctrl_kurtosis_excess	u2af2ctrl_max_binding_offset
chr10_5404579_5404580	5	0.0470542	0.684653	15.2521	-48	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-46	1	0.00980296	0.3	96.01	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-28	0	0	0	0	0
chr10_5449973_5449974	20	0.17861	1.40565	2.62251	43	8	0.092736	0.780307	17.6412	-43	9	0.10097	0.841289	14.6347	9	52	0.685423	1.86562	4.8662	47	10	0.0892069	0.99449	5.2099	-33	4	0.0380355	0.609208	20.2912	-43	0	0	0	0	0	22	0.269385	1.25903	4.52047	-13	0	0	0	0	0	34	1.0748	0.974127	29.1889	12	5	0.0470542	0.684653	15.2521	30
chr10_5722087_5722088	12	0.183904	0.831163	22.0809	-45	11	0.116851	0.955819	10.3978	-48	14	0.159004	1.04285	8.57128	-43	105	2.25586	2.07651	7.16988	-6	7	0.0843055	0.716094	21.5852	-32	3	0.0288207	0.524891	28.6973	33	1	0.00980296	0.3	96.0099	-27	2	0.0194099	0.426401	45.5202	-47	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-47	3	0.0288207	0.524891	28.6973	-47
chr10_5730195_5730196	7	0.0645035	0.818665	9.50303	44	1	0.00980296	0.3	96.01	28	5	0.0470542	0.684653	15.2521	23	35	0.464072	1.52607	8.73428	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0.0843055	0.716094	21.5852	28	0	0	0	0	0	1	0.00980296	0.3	96.01	36	0	0	0	0	0
chr10_5732399_5732400	3	0.0288207	0.524891	28.6973	-42	2	0.0194099	0.426401	45.5202	25	3	0.0288207	0.524891	28.6973	-26	3	0.0288207	0.524891	28.6973	-4	0	0	0	0	0	7	0.0645035	0.818665	9.50304	11	0	0	0	0	0	1	0.00980296	0.3	96.01	28	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-48
chr10_5753744_5753745	5	0.0470542	0.684653	15.2521	-26	10	0.109009	0.89964	12.2811	-27	10	0.109009	0.89964	12.2811	19	1	0.00980296	0.3	96.0099	-25	1	0.00980296	0.3	96.0099	-42	1	0.00980296	0.3	96.0099	-27	0	0	0	0	0	13	0.131948	1.06302	7.59221	-21	0	0	0	0	0	1	0.00980296	0.3	96.01	-9	2	0.0194099	0.426401	45.5202	-23
chr10_5757208_5757209	1	0.00980296	0.3	96.01	19	0	0	0	0	0	1	0.00980296	0.3	96.0099	-39	2	0.0194099	0.426401	45.5202	5	0	0	0	0	0	2	0.0194099	0.426401	45.5202	5	0	0	0	0	0	1	0.00980296	0.3	96.0099	-48	0	0	0	0	0	1	0.00980296	0.3	96.01	19	1	0.00980296	0.3	96.0099	-44
chr10_5757213_5757214	1	0.00980296	0.3	96.01	14	0	0	0	0	0	1	0.00980296	0.3	96.0099	-44	2	0.0194099	0.426401	45.5202	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	14	1	0.00980296	0.3	96.0099	-48
chr10_5767939_5767940	7	0.0645035	0.818665	9.50303	-6	2	0.0194099	0.426401	45.5202	-24	3	0.0288207	0.524891	28.6973	-48	24	0.299971	1.30158	7.17776	29	2	0.0194099	0.426401	45.5202	29	3	0.0288207	0.524891	28.6973	-8	0	0	0	0	0	5	0.0668562	0.57438	34.486	18	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-44	2	0.0194099	0.426401	45.5202	20
chr10_5878344_5878345	3	0.0288207	0.524891	28.6973	-27	10	0.109009	0.89964	12.2811	44	1	0.00980296	0.3	96.0099	-32	8	0.072934	0.879883	7.71103	25	2	0.0194099	0.426401	45.5202	-10	12	0.342319	0.609208	35.55	43	0	0	0	0	0	5	0.0470542	0.684653	15.2521	28	0	0	0	0	0	16	0.52936	0.653197	41.315	43	1	0.00980296	0.3	96.01	40
chr10_5880500_5880501	11	0.176257	0.77825	24.5512	-48	2	0.0194099	0.426401	45.5202	-48	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-31	1	0.00980296	0.3	96.0099	-29	2	0.0194099	0.426401	45.5202	-33	1	0.00980296	0.3	96.0099	-30	4	0.0578375	0.494032	45.7523	-30	0	0	0	0	0	12	0.124498	1.01018	8.86288	-48	0	0	0	0	0
chr10_6019535_6019536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_7193570_7193571	11	0.0970493	1.04881	4.30404	-4	3	0.0288207	0.524891	28.6973	-34	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_7637565_7637566	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-37	0	0	0	0	0	1	0.00980296	0.3	96.01	20	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-8	0	0	0	0	0	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-47	0	0	0	0	0
chr10_7712244_7712245	5	0.0470542	0.684653	15.2521	-1	8	0.092736	0.780307	17.6412	-30	0	0	0	0	0	1	0.00980296	0.3	96.01	11	3	0.0288207	0.524891	28.6973	-48	2	0.0194099	0.426401	45.5202	-48	3	0.0288207	0.524891	28.6973	-48	9	0.120772	0.769234	17.4422	-48	0	0	0	0	0	12	0.124498	1.01018	8.86288	-48	8	0.092736	0.780307	17.6412	-8
chr10_7715045_7715046	12	0.124498	1.01018	8.86289	1	22	0.249583	1.30802	4.27636	-46	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-46	5	0.0470542	0.684653	15.2521	-47	3	0.0288207	0.524891	28.6973	-48	3	0.0288207	0.524891	28.6973	-11	2	0.0194099	0.426401	45.5202	23	0	0	0	0	0	8	0.072934	0.879883	7.71103	3	14	0.139202	1.11456	6.52613	20
chr10_7731305_7731306	6	0.0558769	0.753937	11.8965	-43	4	0.0380355	0.609208	20.2912	47	1	0.00980296	0.3	96.01	-12	4	0.0380355	0.609208	20.2912	-38	1	0.00980296	0.3	96.01	43	0	0	0	0	0	1	0.00980296	0.3	96.0099	-35	0	0	0	0	0	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-29	1	0.00980296	0.3	96.01	6
chr10_7733971_7733972	4	0.0380355	0.609208	20.2912	38	2	0.0194099	0.426401	45.5202	-32	0	0	0	0	0	5	0.0668562	0.57438	34.4861	-32	0	0	0	0	0	4	0.156847	0.3	96.01	-8	0	0	0	0	0	1	0.00980296	0.3	96.01	42	0	0	0	0	0	1	0.00980296	0.3	96.0099	-48	3	0.0288207	0.524891	28.6973	-37
chr10_7780885_7780886	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-5	2	0.0194099	0.426401	45.5202	-41	2	0.0194099	0.426401	45.5202	-12	1	0.00980296	0.3	96.01	-1	0	0	0	0	0	4	0.0380355	0.609208	20.2912	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_7940198_7940199	2	0.0194099	0.426401	45.5202	-7	1	0.00980296	0.3	96.01	-5	0	0	0	0	0	1	0.00980296	0.3	96.01	-5	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	6	1	0.00980296	0.3	96.01	20	0	0	0	0	0	0	0	0	0	0	2	0.0392119	0.3	96.01	2
chr10_8059617_8059618	0	0	0	0	0	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_10962958_10962959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_11484168_11484169	4	0.0380355	0.609208	20.2912	-48	0	0	0	0	0	6	0.0756789	0.647834	26.9316	17	1	0.00980296	0.3	96.01	25	1	0.00980296	0.3	96.01	3	0	0	0	0	0	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-48	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-48	2	0.0194099	0.426401	45.5202	-11
chr10_11491246_11491247	2	0.0194099	0.426401	45.5202	-9	0	0	0	0	0	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-38	2	0.0194099	0.426401	45.5202	-46	2	0.0194099	0.426401	45.5202	-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_11504293_11504294	1	0.00980296	0.3	96.0099	-24	3	0.0288207	0.524891	28.6973	-24	2	0.0194099	0.426401	45.5202	-19	5	0.0470542	0.684653	15.2521	-35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_11943592_11943593	11	0.116851	0.955819	10.3978	42	3	0.0288207	0.524891	28.6973	-46	2	0.0194099	0.426401	45.5202	13	33	0.497206	1.3901	8.07391	48	2	0.0194099	0.426401	45.5202	24	2	0.0194099	0.426401	45.5202	-1	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-26	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-44	1	0.00980296	0.3	96.0099	-21
chr10_11952375_11952376	8	0.13234	0.653197	40.1773	-39	1	0.00980296	0.3	96.01	0	0	0	0	0	0	13	0.15175	0.991241	9.78485	13	2	0.0194099	0.426401	45.5202	-27	3	0.0288207	0.524891	28.6973	-6	0	0	0	0	0	1	0.00980296	0.3	96.01	25	1	0.00980296	0.3	96.0099	-25	0	0	0	0	0	0	0	0	0	0
chr10_12002462_12002463	1	0.00980296	0.3	96.01	11	4	0.0380355	0.609208	20.2912	-13	0	0	0	0	0	1	0.00980296	0.3	96.01	22	2	0.0194099	0.426401	45.5202	-44	0	0	0	0	0	0	0	0	0	0	6	0.0558769	0.753937	11.8965	21	0	0	0	0	0	4	0.0380355	0.609208	20.2912	42	1	0.00980296	0.3	96.01	-1
chr10_12081735_12081736	14	0.178806	0.983415	9.52697	-23	1	0.00980296	0.3	96.0099	-35	0	0	0	0	0	1	0.00980296	0.3	96.01	3	2	0.0194099	0.426401	45.5202	46	1	0.00980296	0.3	96.0099	-46	1	0.00980296	0.3	96.01	31	2	0.0194099	0.426401	45.5202	16	1	0.00980296	0.3	96.01	36	3	0.0288207	0.524891	28.6973	2	0	0	0	0	0
chr10_12149814_12149815	5	0.0470542	0.684653	15.2521	14	0	0	0	0	0	5	0.0470542	0.684653	15.2521	-14	14	0.21841	0.889798	16.7037	-13	1	0.00980296	0.3	96.01	34	6	0.0558769	0.753937	11.8965	6	0	0	0	0	0	5	0.0470542	0.684653	15.2521	-13	0	0	0	0	0	40	0.872856	1.27171	8.15406	15	2	0.0194099	0.426401	45.5202	40
chr10_12178202_12178203	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-10	6	0.0558769	0.753937	11.8965	-22	1	0.00980296	0.3	96.01	-11	1	0.00980296	0.3	96.01	6	5	0.0668562	0.57438	34.486	-48	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-32	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	7
chr10_12185541_12185542	19	0.271542	1.08302	10.334	-15	1	0.00980296	0.3	96.0099	-48	2	0.0194099	0.426401	45.5202	-48	16	0.153122	1.21451	4.84552	21	3	0.0288207	0.524891	28.6973	-39	3	0.0288207	0.524891	28.6973	-12	0	0	0	0	0	5	0.0470542	0.684653	15.2521	-43	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-16	1	0.00980296	0.3	96.0099	-39
chr10_12826759_12826760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0.231938	1.17184	11.6287	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_13121725_13121726	1	0.00980296	0.3	96.0099	-29	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-42	1	0.00980296	0.3	96.0099	-48	1	0.00980296	0.3	96.01	-11	0	0	0	0	0	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_13185695_13185696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_13196889_13196890	5	0.0668562	0.57438	34.4861	21	8	0.112538	0.708338	20.5338	44	1	0.00980296	0.3	96.01	43	4	0.0380355	0.609208	20.2912	-20	2	0.0194099	0.426401	45.5202	-30	1	0.00980296	0.3	96.01	47	0	0	0	0	0	8	0.13234	0.653197	40.1774	48	0	0	0	0	0	2	0.0392119	0.3	96.0099	-48	0	0	0	0	0
chr10_13330624_13330625	10	0.0892069	0.99449	5.20989	-14	4	0.0380355	0.609208	20.2912	-48	6	0.0756789	0.647834	26.9316	-11	2	0.0194099	0.426401	45.5202	-24	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-15	2	0.0194099	0.426401	45.5202	-46	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-45	0	0	0	0	0
chr10_13343301_13343302	5	0.0470542	0.684653	15.2521	-48	2	0.0194099	0.426401	45.5202	27	11	0.0970493	1.04881	4.30404	11	4	0.0380355	0.609208	20.2912	-3	1	0.00980296	0.3	96.0099	-48	0	0	0	0	0	1	0.00980296	0.3	96.0099	-40	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-3	1	0.00980296	0.3	96.01	18
chr10_13609320_13609321	0	0	0	0	0	0	0	0	0	0	8	0.112538	0.708337	20.5338	-42	0	0	0	0	0	1	0.00980296	0.3	96.01	9	1	0.00980296	0.3	96.0099	-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_14822450_14822451	1	0.00980296	0.3	96.01	-6	1	0.00980296	0.3	96.0099	-38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_14833301_14833302	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-39	1	0.00980296	0.3	96.0099	-27	0	0	0	0	0	1	0.00980296	0.3	96.0099	-29	1	0.00980296	0.3	96.0099	-26	9	0.0811685	0.938315	6.32005	-31	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-45
chr10_14837155_14837156	2	0.0194099	0.426401	45.5202	-32	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-21	4	0.0380355	0.609208	20.2912	-30	0	0	0	0	0	5	0.0470542	0.684653	15.2521	2	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-29	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	7
chr10_14921697_14921698	2	0.0194099	0.426401	45.5202	0	3	0.0288207	0.524891	28.6973	-19	14	0.198608	0.933103	18.0917	37	2	0.0194099	0.426401	45.5202	10	1	0.00980296	0.3	96.0099	-23	2	0.0194099	0.426401	45.5202	-17	1	0.00980296	0.3	96.0099	-18	2	0.0194099	0.426401	45.5202	-30	0	0	0	0	0	1	0.00980296	0.3	96.0099	-23	0	0	0	0	0
chr10_15045462_15045463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_15128562_15128563	4	0.0380355	0.609208	20.2912	-42	0	0	0	0	0	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-30	0	0	0	0	0	5	0.0668562	0.57438	34.4861	-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-28	1	0.00980296	0.3	96.0099	-33
chr10_15282447_15282448	1	0.00980296	0.3	96.01	27	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-33	1	0.00980296	0.3	96.0099	-21	1	0.00980296	0.3	96.0099	-45	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-45	0	0	0	0	0	1	0.00980296	0.3	96.01	13	0	0	0	0	0
chr10_15606596_15606597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_15652936_15652937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_15780546_15780547	4	0.0380355	0.609208	20.2912	-14	1	0.00980296	0.3	96.01	14	0	0	0	0	0	10	0.109009	0.89964	12.2811	-14	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-47	1	0.00980296	0.3	96.01	-4	3	0.0288207	0.524891	28.6973	-37	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-43	0	0	0	0	0
chr10_15838927_15838928	12	0.183904	0.831163	22.0809	9	3	0.0288207	0.524891	28.6973	17	1	0.00980296	0.3	96.0099	-28	21	0.243898	1.26303	4.74458	-37	3	0.0288207	0.524891	28.6973	-45	0	0	0	0	0	0	0	0	0	0	16	0.212528	1.03089	7.97688	-18	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-38	3	0.0486227	0.404112	63.8267	17
chr10_16509597_16509598	0	0	0	0	0	0	0	0	0	0	7	0.0645035	0.818665	9.50303	-39	2	0.0194099	0.426401	45.5202	-31	1	0.00980296	0.3	96.01	27	1	0.00980296	0.3	96.0099	-22	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_16917528_16917529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_16928902_16928903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17067056_17067057	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-32	1	0.00980296	0.3	96.0099	-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17112589_17112590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17116719_17116720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17123188_17123189	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	7	2	0.0194099	0.426401	45.5202	-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-48	0	0	0	0	0	1	0.00980296	0.3	96.0099	-48	0	0	0	0	0
chr10_17155103_17155104	0	0	0	0	0	1	0.00980296	0.3	96.0099	-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17158538_17158539	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-34	1	0.00980296	0.3	96.01	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17161830_17161831	0	0	0	0	0	0	0	0	0	0	3	0.0288207	0.524891	28.6973	0	2	0.0194099	0.426401	45.5202	-43	1	0.00980296	0.3	96.01	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	39	0	0	0	0	0
chr10_17232157_17232158	1	0.00980296	0.3	96.01	27	0	0	0	0	0	1	0.00980296	0.3	96.01	48	11	0.176257	0.77825	24.5512	23	1	0.00980296	0.3	96.01	-6	6	0.0756789	0.647834	26.9316	24	0	0	0	0	0	11	0.136653	0.883858	12.9087	26	0	0	0	0	0	1	0.00980296	0.3	96.01	41	1	0.00980296	0.3	96.0099	-23
chr10_17598549_17598550	2	0.0194099	0.426401	45.5202	-39	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	18	0	0	0	0	0	1	0.00980296	0.3	96.0099	-25	1	0.00980296	0.3	96.01	-11
chr10_17689297_17689298	2	0.0194099	0.426401	45.5202	44	2	0.0194099	0.426401	45.5202	-48	1	0.00980296	0.3	96.01	-9	5	0.0668562	0.57438	34.4861	-48	1	0.00980296	0.3	96.01	17	2	0.0194099	0.426401	45.5202	-29	1	0.00980296	0.3	96.01	6	1	0.00980296	0.3	96.0099	-24	0	0	0	0	0	4	0.0380355	0.609208	20.2912	28	2	0.0194099	0.426401	45.5202	16
chr10_17711093_17711094	1	0.00980296	0.3	96.0099	-48	4	0.0380355	0.609208	20.2912	-38	169	4.75463	0.926297	3.09835	17	6	0.0558769	0.753937	11.8965	26	1	0.00980296	0.3	96.01	29	0	0	0	0	0	0	0	0	0	0	8	0.112538	0.708337	20.5338	38	0	0	0	0	0	1	0.00980296	0.3	96.01	20	3	0.0288207	0.524891	28.6973	21
chr10_17772694_17772695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17884755_17884756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17902435_17902436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_17963881_17963882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_18500397_18500398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_18538835_18538836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_18549986_18549987	11	0.116851	0.955819	10.3978	13	2	0.0194099	0.426401	45.5202	10	33	0.497206	1.3901	5.98495	7	3	0.0288207	0.524891	28.6973	9	2	0.0194099	0.426401	45.5202	-26	0	0	0	0	0	1	0.00980296	0.3	96.01	18	3	0.0288207	0.524891	28.6973	-7	0	0	0	0	0	2	0.0194099	0.426401	45.5202	9	2	0.0194099	0.426401	45.5202	12
chr10_18615350_18615351	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-48	3	0.0288207	0.524891	28.6973	-47	2	0.0194099	0.426401	45.5202	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.0578374	0.494032	45.7523	-33	1	0.00980296	0.3	96.0099	-25
chr10_18615750_18615751	1	0.00980296	0.3	96.01	22	0	0	0	0	0	0	0	0	0	0	7	0.0645035	0.818665	9.50303	47	0	0	0	0	0	5	0.0470542	0.684653	15.2521	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_18671020_18671021	3	0.0288207	0.524891	28.6973	-45	0	0	0	0	0	0	0	0	0	0	12	0.104696	1.10158	3.5515	29	2	0.0392119	0.3	96.01	14	3	0.0288207	0.524891	28.6973	13	1	0.00980296	0.3	96.0099	-42	7	0.0645035	0.818665	9.50303	10	0	0	0	0	0	6	0.115283	0.524891	54.4547	13	1	0.00980296	0.3	96.01	27
chr10_18673336_18673337	1	0.00980296	0.3	96.01	5	3	0.0288207	0.524891	28.6973	-7	1	0.00980296	0.3	96.0099	-26	10	0.109009	0.89964	12.2811	37	2	0.0194099	0.426401	45.5202	-10	1	0.00980296	0.3	96.0099	-13	0	0	0	0	0	3	0.0288207	0.524891	28.6973	48	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-48	1	0.00980296	0.3	96.01	38
chr10_19280418_19280419	2	0.0194099	0.426401	45.5202	-24	1	0.00980296	0.3	96.0099	-13	0	0	0	0	0	8	0.092736	0.780307	17.6412	-21	2	0.0194099	0.426401	45.5202	-45	2	0.0194099	0.426401	45.5202	-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
